"id","t1","tn","diff_t","y1","yn","diff_y","pente_e","pente_mean","pente_sd","pente_max","pente_min","aire_2mean","aire_2min","cat","phase_nb"
8,0,5.28333333333333,5.28333333333333,5,1,-4,-0.757097791798108,-0.722736380116402,0.119414082883328,-0.638297872340428,-0.807174887892376,4.03690476190477,10.075,-1,1
8,5.28333333333333,8.4,3.11666666666667,1,6,5,1.60427807486631,1.60427807486631,NA,1.60427807486631,1.60427807486631,4.22976190476191,7.79166666666667,1,2
8,8.4,11.8666666666667,3.4666666666667,6,1,-5,-1.44230769230768,-1.44230769230768,NA,-1.44230769230768,-1.44230769230768,4.70476190476195,8.66666666666675,-1,3
8,11.8666666666667,27.6333333333333,15.7666666666666,1,1,0,0,0,0,0,0,-18.0190476190475,0,0,4
8,27.6333333333333,29.35,1.7166666666667,1,2,1,0.582524271844649,0.582524271844649,NA,0.582524271844649,0.582524271844649,-1.10357142857145,0.85833333333335,1,5
8,29.35,32.2666666666667,2.9166666666667,2,1,-1,-0.342857142857139,-0.342857142857139,NA,-0.342857142857139,-0.342857142857139,-1.87500000000002,1.45833333333335,-1,6
8,32.2666666666667,35.8166666666667,3.55,1,5,4,1.12676056338028,1.12676056338028,NA,1.12676056338028,1.12676056338028,3.04285714285714,7.09999999999999,1,7
8,35.8166666666667,48.1666666666667,12.35,5,1,-4,-0.323886639676113,-0.323886639676113,NA,-0.323886639676113,-0.323886639676113,10.5857142857143,24.7,-1,8
8,48.1666666666667,51.6666666666667,3.5,1,3,2,0.571428571428571,0.571428571428571,NA,0.571428571428571,0.571428571428571,-0.5,3.5,1,9
8,51.6666666666667,53.2833333333333,1.6166666666666,3,1,-2,-1.2371134020619,-1.2371134020619,NA,-1.2371134020619,-1.2371134020619,-0.230952380952374,1.6166666666666,-1,10
8,53.2833333333333,96.1,42.8166666666667,1,1,0,0,0,0,0,0,-48.9333333333334,0,0,11
8,96.1,104.25,8.15000000000001,1,4,3,0.368098159509202,0.283018867924531,0.490203058745913,0.849056603773592,0,9.83571428571435,19.1500000000001,1,12
8,104.25,107.883333333333,3.633333333333,4,1,-3,-0.825688073394571,-0.825688073394571,NA,-0.825688073394571,-0.825688073394571,1.29761904761893,5.44999999999951,-1,13
8,107.883333333333,120.066666666667,12.183333333334,1,1,0,0,0,NA,0,0,-13.9238095238103,0,0,14
8,120.066666666667,123.683333333333,3.61666666666599,1,3,2,0.552995391705172,0.552995391705172,NA,0.552995391705172,0.552995391705172,-0.51666666666658,3.61666666666599,1,15
8,123.683333333333,128.316666666667,4.63333333333401,3,1,-2,-0.43165467625893,-0.470628068393393,0.191530531555575,-0.335195530726182,-0.606060606060604,-1.32857142857188,3.966666666667,-1,16
8,128.316666666667,131.816666666667,3.5,1,5,4,1.14285714285714,1.14285714285714,NA,1.14285714285714,1.14285714285714,3,7,1,17
8,131.816666666667,144.033333333333,12.216666666666,5,2,-3,-0.245566166439304,-0.245566166439304,NA,-0.245566166439304,-0.245566166439304,16.5797619047609,30.5416666666649,-1,18
8,144.033333333333,147.683333333333,3.65000000000001,2,3,1,0.273972602739726,0.273972602739726,NA,0.273972602739726,0.273972602739726,1.30357142857143,5.47499999999999,1,19
8,147.683333333333,149.316666666667,1.63333333333401,3,1,-2,-1.22448979591786,-1.22448979591786,NA,-1.22448979591786,-1.22448979591786,-0.233333333333434,1.63333333333401,-1,20
8,149.316666666667,152.233333333333,2.916666666666,1,1,0,0,0,NA,0,0,-3.33333333333258,0,0,21
8,152.233333333333,155.866666666667,3.63333333333398,1,5,4,1.10091743119246,1.10091743119246,NA,1.10091743119246,1.10091743119246,3.11428571428627,7.26666666666796,1,22
9,0,3.63333333333333,3.63333333333333,5,6,1,0.275229357798165,0.275229357798165,NA,0.275229357798165,0.275229357798165,11.2633333333333,16.35,1,1
9,3.63333333333333,11.8833333333333,8.24999999999997,6,1,-5,-0.606060606060608,-0.800924143242202,0.94062601612272,0,-1.83673469387754,3.86666666666669,15.4166666666667,-1,2
9,11.8833333333333,24.05,12.1666666666667,1,2,1,0.0821917808219176,0.0821917808219176,NA,0.0821917808219176,0.0821917808219176,-10.95,6.08333333333335,1,3
9,24.05,27.65,3.6,2,1,-1,-0.277777777777778,-0.277777777777778,NA,-0.277777777777778,-0.277777777777778,-3.23999999999999,1.8,-1,4
9,27.65,29.3666666666667,1.7166666666667,1,1,0,0,0,NA,0,0,-2.40333333333339,0,0,5
9,29.3666666666667,32.3166666666667,2.95,1,3,2,0.677966101694915,0.677966101694915,NA,0.677966101694915,0.677966101694915,-1.18,2.95,1,6
9,32.3166666666667,35.7833333333333,3.4666666666666,3,1,-2,-0.576923076923087,-0.576923076923087,NA,-0.576923076923087,-0.576923076923087,-1.38666666666664,3.4666666666666,-1,7
9,35.7833333333333,48.1666666666667,12.3833333333334,1,2,1,0.0807537012113051,0.0807537012113051,NA,0.0807537012113051,0.0807537012113051,-11.1450000000001,6.1916666666667,1,8
9,48.1666666666667,51.7166666666667,3.55,2,1,-1,-0.281690140845071,-0.281690140845071,NA,-0.281690140845071,-0.281690140845071,-3.19499999999999,1.775,-1,9
9,51.7166666666667,53.2333333333333,1.5166666666666,1,4,3,1.97802197802206,1.97802197802206,NA,1.97802197802206,1.97802197802206,0.151666666666657,2.27499999999991,1,10
9,53.2333333333333,56.2333333333333,3,4,1,-3,-1,-1,NA,-1,-1,0.299999999999997,4.5,-1,11
9,56.2333333333333,59.8833333333333,3.65,1,2,1,0.273972602739726,0.273972602739726,NA,0.273972602739726,0.273972602739726,-3.285,1.825,1,12
9,59.8833333333333,72.0666666666667,12.1833333333334,2,1,-1,-0.0820793433652526,-0.0820793433652526,NA,-0.0820793433652526,-0.0820793433652526,-10.9650000000001,6.0916666666667,-1,13
9,72.0666666666667,75.5333333333333,3.4666666666666,1,1,0,0,0,NA,0,0,-4.85333333333323,0,0,14
9,75.5333333333333,77.2333333333333,1.7,1,3,2,1.17647058823529,1.17647058823529,NA,1.17647058823529,1.17647058823529,-0.680000000000003,1.7,1,15
9,77.2333333333333,80.2666666666667,3.03333333333339,3,1,-2,-0.659340659340647,-0.659340659340647,NA,-0.659340659340647,-0.659340659340647,-1.21333333333335,3.03333333333339,-1,16
9,80.2666666666667,83.85,3.5833333333333,1,5,4,1.11627906976745,1.11627906976745,NA,1.11627906976745,1.11627906976745,2.14999999999998,7.1666666666666,1,17
9,83.85,96.0833333333333,12.2333333333333,5,4,-1,-0.0817438692098094,-0.0817438692098094,NA,-0.0817438692098094,-0.0817438692098094,25.6899999999999,42.8166666666665,-1,18
9,96.0833333333333,99.6166666666667,3.5333333333334,4,6,2,0.566037735849045,0.566037735849045,NA,0.566037735849045,0.566037735849045,9.18666666666687,14.1333333333336,1,19
9,99.6166666666667,107.866666666667,8.2500000000003,6,1,-5,-0.606060606060584,-0.60839286422289,0.0462228620644161,-0.563380281690141,-0.655737704918033,8.57500000000098,20.1250000000014,-1,20
9,107.866666666667,123.733333333333,15.866666666666,1,1,0,0,0,0,0,0,-22.2133333333324,0,0,21
9,123.733333333333,125.233333333333,1.5,1,4,3,2,2,NA,2,2,0.150000000000006,2.25,1,22
9,125.233333333333,128.25,3.01666666666701,4,1,-3,-0.994475138121435,-0.994475138121435,NA,-0.994475138121435,-0.994475138121435,0.301666666666705,4.52500000000052,-1,23
9,128.25,131.9,3.65000000000001,1,1,0,0,0,NA,0,0,-5.11000000000001,0,0,24
9,131.9,144.033333333333,12.133333333333,1,3,2,0.16483516483517,0.16483516483517,NA,0.16483516483517,0.16483516483517,-4.85333333333319,12.133333333333,1,25
9,144.033333333333,149.366666666667,5.333333333334,3,1,-2,-0.374999999999953,-0.436363636363564,0.231416764751894,-0.272727272727248,-0.599999999999881,-1.13333333333361,6.33333333333398,-1,26
9,149.366666666667,152.266666666667,2.90000000000001,1,1,0,0,0,NA,0,0,-4.06,0,0,27
9,152.266666666667,155.866666666667,3.59999999999999,1,3,2,0.555555555555556,0.555555555555556,NA,0.555555555555556,0.555555555555556,-1.44,3.59999999999999,1,28
10,0,3.61666666666667,3.61666666666667,2,1,-1,-0.276497695852534,-0.276497695852534,NA,-0.276497695852534,-0.276497695852534,-3.255,1.80833333333333,-1,1
10,3.61666666666667,24.1,20.4833333333333,1,1,0,0,0,0,0,0,-28.6766666666667,0,0,2
10,24.1,29.3,5.2,1,5,4,0.769230769230769,0.892618729734894,0.469336562755921,1.22448979591839,0.560747663551397,1.1866666666666,8.4666666666666,1,3
10,29.3,32.2666666666667,2.9666666666667,5,1,-4,-1.34831460674156,-1.34831460674156,NA,-1.34831460674156,-1.34831460674156,1.78000000000002,5.9333333333334,-1,4
10,32.2666666666667,48.2666666666667,16,1,2,1,0.0625,0.140845070422535,0.199185008784943,0.281690140845071,0,-8.175,14.225,1,5
10,48.2666666666667,51.6833333333333,3.4166666666666,2,1,-1,-0.292682926829274,-0.292682926829274,NA,-0.292682926829274,-0.292682926829274,-3.07499999999994,1.7083333333333,-1,6
10,51.6833333333333,53.2166666666667,1.5333333333334,1,3,2,1.3043478260869,1.3043478260869,NA,1.3043478260869,1.3043478260869,-0.613333333333362,1.5333333333334,1,7
10,53.2166666666667,56.3666666666667,3.15000000000001,3,1,-2,-0.634920634920634,-0.634920634920634,NA,-0.634920634920634,-0.634920634920634,-1.26,3.15000000000001,-1,8
10,56.3666666666667,96.15,39.7833333333333,1,1,0,0,0,0,0,0,-55.6966666666666,0,0,9
10,96.15,101.3,5.14999999999999,1,6,5,0.970873786407769,1.01941747572815,0.205953431413536,1.1650485436893,0.873786407767,4.80666666666674,12.0166666666667,1,10
10,101.3,104.35,3.05,6,1,-5,-1.63934426229508,-1.63934426229508,NA,-1.63934426229508,-1.63934426229508,3.35499999999999,7.625,-1,11
10,104.35,107.75,3.40000000000001,1,5,4,1.17647058823529,1.17647058823529,NA,1.17647058823529,1.17647058823529,2.04000000000001,6.80000000000001,1,12
10,107.75,120.1,12.35,5,4,-1,-0.0809716599190284,-0.0809716599190284,NA,-0.0809716599190284,-0.0809716599190284,25.9349999999999,43.225,-1,13
10,120.1,123.7,3.60000000000001,4,6,2,0.555555555555554,0.555555555555554,NA,0.555555555555554,0.555555555555554,9.36000000000001,14.4,1,14
10,123.7,125.233333333333,1.53333333333299,6,1,-5,-3.26086956521812,-3.26086956521812,NA,-3.26086956521812,-3.26086956521812,1.68666666666633,3.83333333333246,-1,15
10,125.233333333333,128.3,3.06666666666702,1,1,0,0,0,NA,0,0,-4.29333333333383,0,0,16
10,128.3,144.033333333333,15.733333333333,1,6,5,0.317796610169499,0.497277492884684,0.469823799618181,0.82949308755753,0.165061898211839,31.8649999999983,53.8916666666645,1,17
10,144.033333333333,152.283333333333,8.25,6,1,-5,-0.606060606060606,-0.608136098476107,0.0697893173959016,-0.550458715596228,-0.685714285714442,10.150000000002,21.7000000000019,-1,18
10,152.283333333333,155.8,3.51666666666702,1,6,5,1.42180094786716,1.42180094786716,NA,1.42180094786716,1.42180094786716,3.86833333333374,8.79166666666754,1,19
11,0,5.28333333333333,5.28333333333333,6,1,-5,-0.946372239747635,-0.854067654459045,0.341989021932548,-0.612244897959185,-1.0958904109589,3.16238095238096,11.7666666666667,-1,1
11,5.28333333333333,8.28333333333333,3,1,1,0,0,0,NA,0,0,-4.88571428571428,0,0,2
11,8.28333333333333,24.1666666666667,15.8833333333334,1,4,3,0.188877229800629,0.418604651162787,0.591996374946871,0.837209302325573,0,16.4078571428571,42.2750000000001,1,3
11,24.1666666666667,27.5666666666667,3.4,4,1,-3,-0.882352941176471,-0.882352941176471,NA,-0.882352941176471,-0.882352941176471,-0.437142857142856,5.1,-1,4
11,27.5666666666667,29.3166666666667,1.75,1,3,2,1.14285714285714,1.14285714285714,NA,1.14285714285714,1.14285714285714,-1.1,1.75,1,5
11,29.3166666666667,32.35,3.0333333333333,3,1,-2,-0.659340659340666,-0.659340659340666,NA,-0.659340659340666,-0.659340659340666,-1.90666666666664,3.0333333333333,-1,6
11,32.35,35.8333333333333,3.4833333333333,1,4,3,0.861244019138765,0.861244019138765,NA,0.861244019138765,0.861244019138765,-0.447857142857142,5.22499999999994,1,7
11,35.8333333333333,48.25,12.4166666666667,4,1,-3,-0.241610738255033,-0.241610738255033,NA,-0.241610738255033,-0.241610738255033,-1.59642857142857,18.625,-1,8
11,48.25,51.7333333333333,3.4833333333333,1,4,3,0.861244019138765,0.861244019138765,NA,0.861244019138765,0.861244019138765,-0.447857142857146,5.22499999999995,1,9
11,51.7333333333333,53.25,1.5166666666667,4,1,-3,-1.97802197802193,-1.97802197802193,NA,-1.97802197802193,-1.97802197802193,-0.195000000000007,2.27500000000005,-1,10
11,53.25,59.8,6.55,1,1,0,0,0,0,0,0,-10.6671428571428,0,0,11
11,59.8,72.1666666666667,12.3666666666667,1,3,2,0.161725067385444,0.161725067385444,NA,0.161725067385444,0.161725067385444,-7.77333333333335,12.3666666666667,1,12
11,72.1666666666667,75.6,3.43333333333329,3,1,-2,-0.582524271844667,-0.582524271844667,NA,-0.582524271844667,-0.582524271844667,-2.15809523809521,3.43333333333329,-1,13
11,75.6,77.3333333333333,1.73333333333331,1,6,5,2.88461538461543,2.88461538461543,NA,2.88461538461543,2.88461538461543,1.51047619047615,4.33333333333326,1,14
11,77.3333333333333,80.2666666666667,2.93333333333339,6,4,-2,-0.681818181818168,-0.681818181818168,NA,-0.681818181818168,-0.681818181818168,6.95619047619061,11.7333333333336,-1,15
11,80.2666666666667,83.7666666666667,3.5,4,6,2,0.571428571428571,0.571428571428571,NA,0.571428571428571,0.571428571428571,8.30000000000001,14,1,16
11,83.7666666666667,99.65,15.8833333333333,6,1,-5,-0.31479538300105,-0.301292326187136,0.0350649024932249,-0.276497695852532,-0.326086956521741,12.7411904761904,38.6083333333332,-1,17
11,99.65,101.366666666667,1.716666666667,1,6,5,2.91262135922274,2.91262135922274,NA,2.91262135922274,2.91262135922274,1.49595238095269,4.29166666666751,1,18
11,101.366666666667,107.783333333333,6.416666666666,6,1,-5,-0.77922077922086,-0.801601568883858,0.329343736947407,-0.568720379147028,-1.03448275862069,3.21666666666707,13.666666666666,-1,19
11,107.783333333333,125.266666666667,17.483333333334,1,1,0,0,0,0,0,0,-28.4728571428582,0,0,20
11,125.266666666667,128.383333333333,3.11666666666601,1,6,5,1.60427807486665,1.60427807486665,NA,1.60427807486665,1.60427807486665,2.7159523809518,7.79166666666498,1,21
11,128.383333333333,131.9,3.51666666666699,6,1,-5,-1.42180094786717,-1.42180094786717,NA,-1.42180094786717,-1.42180094786717,3.0645238095241,8.79166666666748,-1,22
11,131.9,144.05,12.15,1,1,0,0,0,NA,0,0,-19.7871428571429,0,0,23
11,144.05,149.316666666667,5.26666666666699,1,5,4,0.759493670886029,0.542986425339416,0.767898766899488,1.08597285067883,0,5.12285714285858,13.700000000002,1,24
11,149.316666666667,152.316666666667,3,5,1,-4,-1.33333333333333,-1.33333333333333,NA,-1.33333333333333,-1.33333333333333,1.11428571428573,6,-1,25
11,152.316666666667,155.866666666667,3.54999999999998,1,2,1,0.281690140845072,0.281690140845072,NA,0.281690140845072,0.281690140845072,-4.00642857142856,1.77499999999999,1,26
12,0,3.68333333333333,3.68333333333333,1,6,5,1.35746606334842,1.35746606334842,NA,1.35746606334842,1.35746606334842,4.36738095238095,9.20833333333333,1,1
12,3.68333333333333,8.33333333333333,4.65,6,1,-5,-1.0752688172043,-0.969105874393957,0.504677632755765,-0.612244897959181,-1.32596685082873,7.27190476190478,13.3833333333334,-1,2
